#time 1Hz  2Hz      5Hz      10Hz     20Hz 
4660000 -0.535827 -0.425779 -0.309017 -0.809017 0.309017
4680000 -0.425779 -0.637424 -0.809017 0.309017 -0.809017
4700000 -0.309017 -0.809017 -1.000000 1.000000 1.000000
4720000 -0.187381 -0.929776 -0.809017 0.309017 -0.809017
4740000 -0.062791 -0.992115 -0.309017 -0.809017 0.309017
4760000 0.062791 -0.992115 0.309017 -0.809017 0.309017
4780000 0.187381 -0.929776 0.809017 0.309017 -0.809017
4800000 0.309017 -0.809017 1.000000 1.000000 1.000000
4820000 0.425779 -0.637424 0.809017 0.309017 -0.809017
4840000 0.535827 -0.425779 0.309017 -0.809017 0.309017
4860000 0.637424 -0.187381 -0.309017 -0.809017 0.309017
4880000 0.728969 0.062791 -0.809017 0.309017 -0.809017
4900000 0.809017 0.309017 -1.000000 1.000000 1.000000
4920000 0.876307 0.535827 -0.809017 0.309017 -0.809017
4940000 0.929776 0.728969 -0.309017 -0.809017 0.309017
4960000 0.968583 0.876307 0.309017 -0.809017 0.309017
4980000 0.992115 0.968583 0.809017 0.309017 -0.809017
5000000 1.000000 1.000000 1.000000 1.000000 1.000000
5020000 0.992115 0.968583 0.809017 0.309017 -0.809017
5040000 0.968583 0.876307 0.309017 -0.809017 0.309017
5.060000e+06 0.929776 0.728969 -0.309017 -0.809017 0.309017
5080000 0.876307 0.535827 -0.809017 0.309017 -0.809017
5.100000e+06 0.809017 0.309017 -1.000000 1.000000 1.000000
5120000 0.728969 0.062791 -0.809017 0.309017 -0.809017
5140000 0.637424 -0.187381 -0.309017 -0.809017 0.309017
5160000 0.535827 -0.425779 0.309017 -0.809017 0.309017
5180000 0.425779 -0.637424 0.809017 0.309017 -0.809017
5200000 0.309017 -0.809017 1.000000 1.000000 1.000000
5220000 0.187381 -0.929776 0.809017 0.309017 -0.809017
5240000 0.062791 -0.992115 0.309017 -0.809017 0.309017
5260000 -0.062791 -0.992115 -0.309017 -0.809017 0.309017
5280000 -0.187381 -0.929776 -0.809017 0.309017 -0.809017
5300000 -0.309017 -0.809017 -1.000000 1.000000 1.000000
5320000 -0.425779 -0.637424 -0.809017 0.309017 -0.809017
5340000 -0.535827 -0.425779 -0.309017 -0.809017 0.309017
5360000 -0.637424 -0.187381 0.309017 -0.809017 0.309017
5380000 -0.728969 0.062791 0.809017 0.309017 -0.809017
5400000 -0.809017 0.309017 1.000000 1.000000 1.000000
5420000 -0.876307 0.535827 0.809017 0.309017 -0.809017
5440000 -0.929776 0.728969 0.309017 -0.809017 0.309017
5460000 -0.968583 0.876307 -0.309017 -0.809017 0.309017
5480000 -0.992115 0.968583 -0.809017 0.309017 -0.809017
5500000 -1.000000 1.000000 -1.000000 1.000000 1.000000
5520000 -0.992115 0.968583 -0.809017 0.309017 -0.809017
5540000 -0.968583 0.876307 -0.309017 -0.809017 0.309017
5.560000e+06 -0.929776 0.728969 0.309017 -0.809017 0.309017
5580000 -0.876307 0.535827 0.809017 0.309017 -0.809017
5.600000e+06 -0.809017 0.309017 1.000000 1.000000 1.000000
5620000 -0.728969 0.062791 0.809017 0.309017 -0.809017
5640000 -0.637424 -0.187381 0.309017 -0.809017 0.309017
5660000 -0.535827 -0.425779 -0.309017 -0.809017 0.309017
5680000 -0.425779 -0.637424 -0.809017 0.309017 -0.809017
5700000 -0.309017 -0.809017 -1.000000 1.000000 1.000000
5720000 -0.187381 -0.929776 -0.809017 0.309017 -0.809017
5740000 -0.062791 -0.992115 -0.309017 -0.809017 0.309017
5760000 0.062791 -0.992115 0.309017 -0.809017 0.309017
5780000 0.187381 -0.929776 0.809017 0.309017 -0.809017
5800000 0.309017 -0.809017 1.000000 1.000000 1.000000
5820000 0.425779 -0.637424 0.809017 0.309017 -0.809017
5840000 0.535827 -0.425779 0.309017 -0.809017 0.309017
5860000 0.637424 -0.187381 -0.309017 -0.809017 0.309017
5880000 0.728969 0.062791 -0.809017 0.309017 -0.809017
5900000 0.809017 0.309017 -1.000000 1.000000 1.000000
5920000 0.876307 0.535827 -0.809017 0.309017 -0.809017
5940000 0.929776 0.728969 -0.309017 -0.809017 0.309017
5960000 0.968583 0.876307 0.309017 -0.809017 0.309017
5980000 0.992115 0.968583 0.809017 0.309017 -0.809017
6000000 1.000000 1.000000 1.000000 1.000000 1.000000
6020000 0.992115 0.968583 0.809017 0.309017 -0.809017
6040000 0.968583 0.876307 0.309017 -0.809017 0.309017
6.060000e+06 0.929776 0.728969 -0.309017 -0.809017 0.309017
6080000 0.876307 0.535827 -0.809017 0.309017 -0.809017
6.100000e+06 0.809017 0.309017 -1.000000 1.000000 1.000000
6120000 0.728969 0.062791 -0.809017 0.309017 -0.809017
6.140000e+06 0.637424 -0.187381 -0.309017 -0.809017 0.309017
6160000 0.535827 -0.425779 0.309017 -0.809017 0.309017
6180000 0.425779 -0.637424 0.809017 0.309017 -0.809017
6200000 0.309017 -0.809017 1.000000 1.000000 1.000000
6220000 0.187381 -0.929776 0.809017 0.309017 -0.809017
6240000 0.062791 -0.992115 0.309017 -0.809017 0.309017
6260000 -0.062791 -0.992115 -0.309017 -0.809017 0.309017
6280000 -0.187381 -0.929776 -0.809017 0.309017 -0.809017
6300000 -0.309017 -0.809017 -1.000000 1.000000 1.000000
6320000 -0.425779 -0.637424 -0.809017 0.309017 -0.809017
6340000 -0.535827 -0.425779 -0.309017 -0.809017 0.309017
6360000 -0.637424 -0.187381 0.309017 -0.809017 0.309017
6380000 -0.728969 0.062791 0.809017 0.309017 -0.809017
6400000 -0.809017 0.309017 1.000000 1.000000 1.000000
6420000 -0.876307 0.535827 0.809017 0.309017 -0.809017
6440000 -0.929776 0.728969 0.309017 -0.809017 0.309017
6460000 -0.968583 0.876307 -0.309017 -0.809017 0.309017
6480000 -0.992115 0.968583 -0.809017 0.309017 -0.809017
6500000 -1.000000 1.000000 -1.000000 1.000000 1.000000
6520000 -0.992115 0.968583 -0.809017 0.309017 -0.809017
6540000 -0.968583 0.876307 -0.309017 -0.809017 0.309017
6.560000e+06 -0.929776 0.728969 0.309017 -0.809017 0.309017
6580000 -0.876307 0.535827 0.809017 0.309017 -0.809017
6.600000e+06 -0.809017 0.309017 1.000000 1.000000 1.000000
6620000 -0.728969 0.062791 0.809017 0.309017 -0.809017
6.640000e+06 -0.637424 -0.187381 0.309017 -0.809017 0.309017
6660000 -0.535827 -0.425779 -0.309017 -0.809017 0.309017
6680000 -0.425779 -0.637424 -0.809017 0.309017 -0.809017
6700000 -0.309017 -0.809017 -1.000000 1.000000 1.000000
6720000 -0.187381 -0.929776 -0.809017 0.309017 -0.809017
6740000 -0.062791 -0.992115 -0.309017 -0.809017 0.309017
6760000 0.062791 -0.992115 0.309017 -0.809017 0.309017
6780000 0.187381 -0.929776 0.809017 0.309017 -0.809017
6800000 0.309017 -0.809017 1.000000 1.000000 1.000000
6820000 0.425779 -0.637424 0.809017 0.309017 -0.809017
6840000 0.535827 -0.425779 0.309017 -0.809017 0.309017
6860000 0.637424 -0.187381 -0.309017 -0.809017 0.309017
6880000 0.728969 0.062791 -0.809017 0.309017 -0.809017
6900000 0.809017 0.309017 -1.000000 1.000000 1.000000
6920000 0.876307 0.535827 -0.809017 0.309017 -0.809017
6940000 0.929776 0.728969 -0.309017 -0.809017 0.309017
6960000 0.968583 0.876307 0.309017 -0.809017 0.309017
6980000 0.992115 0.968583 0.809017 0.309017 -0.809017
7000000 1.000000 1.000000 1.000000 1.000000 1.000000
7020000 0.992115 0.968583 0.809017 0.309017 -0.809017
7040000 0.968583 0.876307 0.309017 -0.809017 0.309017
7.060000e+06 0.929776 0.728969 -0.309017 -0.809017 0.309017
7080000 0.876307 0.535827 -0.809017 0.309017 -0.809017
7.100000e+06 0.809017 0.309017 -1.000000 1.000000 1.000000
7120000 0.728969 0.062791 -0.809017 0.309017 -0.809017
7.140000e+06 0.637424 -0.187381 -0.309017 -0.809017 0.309017
7160000 0.535827 -0.425779 0.309017 -0.809017 0.309017
7180000 0.425779 -0.637424 0.809017 0.309017 -0.809017
7200000 0.309017 -0.809017 1.000000 1.000000 1.000000
7220000 0.187381 -0.929776 0.809017 0.309017 -0.809017
7240000 0.062791 -0.992115 0.309017 -0.809017 0.309017
7260000 -0.062791 -0.992115 -0.309017 -0.809017 0.309017
7280000 -0.187381 -0.929776 -0.809017 0.309017 -0.809017
7300000 -0.309017 -0.809017 -1.000000 1.000000 1.000000
7320000 -0.425779 -0.637424 -0.809017 0.309017 -0.809017
7340000 -0.535827 -0.425779 -0.309017 -0.809017 0.309017
7360000 -0.637424 -0.187381 0.309017 -0.809017 0.309017
7380000 -0.728969 0.062791 0.809017 0.309017 -0.809017
7400000 -0.809017 0.309017 1.000000 1.000000 1.000000
7420000 -0.876307 0.535827 0.809017 0.309017 -0.809017
7440000 -0.929776 0.728969 0.309017 -0.809017 0.309017
7460000 -0.968583 0.876307 -0.309017 -0.809017 0.309017
7480000 -0.992115 0.968583 -0.809017 0.309017 -0.809017
7500000 -1.000000 1.000000 -1.000000 1.000000 1.000000
7520000 -0.992115 0.968583 -0.809017 0.309017 -0.809017
7540000 -0.968583 0.876307 -0.309017 -0.809017 0.309017
7.560000e+06 -0.929776 0.728969 0.309017 -0.809017 0.309017
7580000 -0.876307 0.535827 0.809017 0.309017 -0.809017
7.600000e+06 -0.809017 0.309017 1.000000 1.000000 1.000000
7620000 -0.728969 0.062791 0.809017 0.309017 -0.809017
7.640000e+06 -0.637424 -0.187381 0.309017 -0.809017 0.309017
7660000 -0.535827 -0.425779 -0.309017 -0.809017 0.309017
7680000 -0.425779 -0.637424 -0.809017 0.309017 -0.809017
7700000 -0.309017 -0.809017 -1.000000 1.000000 1.000000
7720000 -0.187381 -0.929776 -0.809017 0.309017 -0.809017
7740000 -0.062791 -0.992115 -0.309017 -0.809017 0.309017
7760000 0.062791 -0.992115 0.309017 -0.809017 0.309017
7780000 0.187381 -0.929776 0.809017 0.309017 -0.809017
7800000 0.309017 -0.809017 1.000000 1.000000 1.000000
7820000 0.425779 -0.637424 0.809017 0.309017 -0.809017
7840000 0.535827 -0.425779 0.309017 -0.809017 0.309017
7860000 0.637424 -0.187381 -0.309017 -0.809017 0.309017
7880000 0.728969 0.062791 -0.809017 0.309017 -0.809017
7900000 0.809017 0.309017 -1.000000 1.000000 1.000000
7920000 0.876307 0.535827 -0.809017 0.309017 -0.809017
7940000 0.929776 0.728969 -0.309017 -0.809017 0.309017
7960000 0.968583 0.876307 0.309017 -0.809017 0.309017
7980000 0.992115 0.968583 0.809017 0.309017 -0.809017
8000000 1.000000 1.000000 1.000000 1.000000 1.000000
8020000 0.992115 0.968583 0.809017 0.309017 -0.809017
8.040000e+06 0.968583 0.876307 0.309017 -0.809017 0.309017
8.060000e+06 0.929776 0.728969 -0.309017 -0.809017 0.309017
8080000 0.876307 0.535827 -0.809017 0.309017 -0.809017
8100000 0.809017 0.309017 -1.000000 1.000000 1.000000
8.120000e+06 0.728969 0.062791 -0.809017 0.309017 -0.809017
8.140000e+06 0.637424 -0.187381 -0.309017 -0.809017 0.309017
8160000 0.535827 -0.425779 0.309017 -0.809017 0.309017
8180000 0.425779 -0.637424 0.809017 0.309017 -0.809017
8.200000e+06 0.309017 -0.809017 1.000000 1.000000 1.000000
8.220000e+06 0.187381 -0.929776 0.809017 0.309017 -0.809017
8240000 0.062791 -0.992115 0.309017 -0.809017 0.309017
8260000 -0.062791 -0.992115 -0.309017 -0.809017 0.309017
8.280000e+06 -0.187381 -0.929776 -0.809017 0.309017 -0.809017
8.300000e+06 -0.309017 -0.809017 -1.000000 1.000000 1.000000
8320000 -0.425779 -0.637424 -0.809017 0.309017 -0.809017
8340000 -0.535827 -0.425779 -0.309017 -0.809017 0.309017
8.360000e+06 -0.637424 -0.187381 0.309017 -0.809017 0.309017
8.380000e+06 -0.728969 0.062791 0.809017 0.309017 -0.809017
8400000 -0.809017 0.309017 1.000000 1.000000 1.000000
8420000 -0.876307 0.535827 0.809017 0.309017 -0.809017
8440000 -0.929776 0.728969 0.309017 -0.809017 0.309017
8460000 -0.968583 0.876307 -0.309017 -0.809017 0.309017
8480000 -0.992115 0.968583 -0.809017 0.309017 -0.809017
8500000 -1.000000 1.000000 -1.000000 1.000000 1.000000
8520000 -0.992115 0.968583 -0.809017 0.309017 -0.809017
8540000 -0.968583 0.876307 -0.309017 -0.809017 0.309017
8560000 -0.929776 0.728969 0.309017 -0.809017 0.309017
8580000 -0.876307 0.535827 0.809017 0.309017 -0.809017
8600000 -0.809017 0.309017 1.000000 1.000000 1.000000
8.620000e+06 -0.728969 0.062791 0.809017 0.309017 -0.809017
8640000 -0.637424 -0.187381 0.309017 -0.809017 0.309017
8660000 -0.535827 -0.425779 -0.309017 -0.809017 0.309017
8680000 -0.425779 -0.637424 -0.809017 0.309017 -0.809017
8.700000e+06 -0.309017 -0.809017 -1.000000 1.000000 1.000000
8720000 -0.187381 -0.929776 -0.809017 0.309017 -0.809017
8740000 -0.062791 -0.992115 -0.309017 -0.809017 0.309017
8760000 0.062791 -0.992115 0.309017 -0.809017 0.309017
8780000 0.187381 -0.929776 0.809017 0.309017 -0.809017
