#time 1Hz  2Hz      5Hz      10Hz      
3090000 0.535827 0.904827 0.309017 -0.587785
3100000 0.587785 0.951057 0.000000 -0.000000
3110000 0.637424 0.982287 -0.309017 0.587785
3120000 0.684547 0.998027 -0.587785 0.951057
3130000 0.728969 0.998027 -0.809017 0.951057
3140000 0.770513 0.982287 -0.951057 0.587785
3150000 0.809017 0.951057 -1.000000 0.000000
3160000 0.844328 0.904827 -0.951057 -0.587785
3170000 0.876307 0.844328 -0.809017 -0.951057
3180000 0.904827 0.770513 -0.587785 -0.951057
3190000 0.929776 0.684547 -0.309017 -0.587785
3200000 0.951057 0.587785 -0.000000 -0.000000
3210000 0.968583 0.481754 0.309017 0.587785
3220000 0.982287 0.368125 0.587785 0.951057
3230000 0.992115 0.248690 0.809017 0.951057
3240000 0.998027 0.125333 0.951057 0.587785
3250000 1.000000 -0.000000 1.000000 -0.000000
3260000 0.998027 -0.125333 0.951057 -0.587785
3270000 0.992115 -0.248690 0.809017 -0.951057
3.280000e+06 0.982287 -0.368125 0.587785 -0.951057
3290000 0.968583 -0.481754 0.309017 -0.587785
3.300000e+06 0.951057 -0.587785 0.000000 -0.000000
3310000 0.929776 -0.684547 -0.309017 0.587785
3.320000e+06 0.904827 -0.770513 -0.587785 0.951057
3330000 0.876307 -0.844328 -0.809017 0.951057
3340000 0.844328 -0.904827 -0.951057 0.587785
3350000 0.809017 -0.951057 -1.000000 -0.000000
3360000 0.770513 -0.982287 -0.951057 -0.587785
3370000 0.728969 -0.998027 -0.809017 -0.951057
3380000 0.684547 -0.998027 -0.587785 -0.951057
3390000 0.637424 -0.982287 -0.309017 -0.587785
3400000 0.587785 -0.951057 0.000000 0.000000
3410000 0.535827 -0.904827 0.309017 0.587785
3420000 0.481754 -0.844328 0.587785 0.951057
3430000 0.425779 -0.770513 0.809017 0.951057
3440000 0.368125 -0.684547 0.951057 0.587785
3450000 0.309017 -0.587785 1.000000 0.000000
3460000 0.248690 -0.481754 0.951057 -0.587785
3470000 0.187381 -0.368125 0.809017 -0.951057
3480000 0.125333 -0.248690 0.587785 -0.951057
3490000 0.062791 -0.125333 0.309017 -0.587785
3500000 0.000000 -0.000000 0.000000 -0.000000
3510000 -0.062791 0.125333 -0.309017 0.587785
3520000 -0.125333 0.248690 -0.587785 0.951057
3.530000e+06 -0.187381 0.368125 -0.809017 0.951057
3540000 -0.248690 0.481754 -0.951057 0.587785
3.550000e+06 -0.309017 0.587785 -1.000000 -0.000000
3560000 -0.368125 0.684547 -0.951057 -0.587785
3.570000e+06 -0.425779 0.770513 -0.809017 -0.951057
3580000 -0.481754 0.844328 -0.587785 -0.951057
3590000 -0.535827 0.904827 -0.309017 -0.587785
3600000 -0.587785 0.951057 -0.000000 -0.000000
3610000 -0.637424 0.982287 0.309017 0.587785
3620000 -0.684547 0.998027 0.587785 0.951057
3630000 -0.728969 0.998027 0.809017 0.951057
3640000 -0.770513 0.982287 0.951057 0.587785
3650000 -0.809017 0.951057 1.000000 0.000000
3660000 -0.844328 0.904827 0.951057 -0.587785
3670000 -0.876307 0.844328 0.809017 -0.951057
3680000 -0.904827 0.770513 0.587785 -0.951057
3690000 -0.929776 0.684547 0.309017 -0.587785
3700000 -0.951057 0.587785 0.000000 -0.000000
3710000 -0.968583 0.481754 -0.309017 0.587785
3720000 -0.982287 0.368125 -0.587785 0.951057
3730000 -0.992115 0.248690 -0.809017 0.951057
3740000 -0.998027 0.125333 -0.951057 0.587785
3750000 -1.000000 0.000000 -1.000000 0.000000
3760000 -0.998027 -0.125333 -0.951057 -0.587785
3770000 -0.992115 -0.248690 -0.809017 -0.951057
3.780000e+06 -0.982287 -0.368125 -0.587785 -0.951057
3790000 -0.968583 -0.481754 -0.309017 -0.587785
3.800000e+06 -0.951057 -0.587785 -0.000000 -0.000000
3810000 -0.929776 -0.684547 0.309017 0.587785
3.820000e+06 -0.904827 -0.770513 0.587785 0.951057
3830000 -0.876307 -0.844328 0.809017 0.951057
3840000 -0.844328 -0.904827 0.951057 0.587785
3850000 -0.809017 -0.951057 1.000000 -0.000000
3860000 -0.770513 -0.982287 0.951057 -0.587785
3870000 -0.728969 -0.998027 0.809017 -0.951057
3880000 -0.684547 -0.998027 0.587785 -0.951057
3890000 -0.637424 -0.982287 0.309017 -0.587785
3900000 -0.587785 -0.951057 0.000000 -0.000000
3910000 -0.535827 -0.904827 -0.309017 0.587785
3920000 -0.481754 -0.844328 -0.587785 0.951057
3930000 -0.425779 -0.770513 -0.809017 0.951057
3940000 -0.368125 -0.684547 -0.951057 0.587785
3950000 -0.309017 -0.587785 -1.000000 -0.000000
3960000 -0.248690 -0.481754 -0.951057 -0.587785
3970000 -0.187381 -0.368125 -0.809017 -0.951057
3980000 -0.125333 -0.248690 -0.587785 -0.951057
3990000 -0.062791 -0.125333 -0.309017 -0.587785
4000000 -0.000000 -0.000000 -0.000000 -0.000000
4010000 0.062791 0.125333 0.309017 0.587785
4.020000e+06 0.125333 0.248690 0.587785 0.951057
4.030000e+06 0.187381 0.368125 0.809017 0.951057
4040000 0.248690 0.481754 0.951057 0.587785
4050000 0.309017 0.587785 1.000000 0.000000
4.060000e+06 0.368125 0.684547 0.951057 -0.587785
4.070000e+06 0.425779 0.770513 0.809017 -0.951057
4080000 0.481754 0.844328 0.587785 -0.951057
4090000 0.535827 0.904827 0.309017 -0.587785
4.100000e+06 0.587785 0.951057 0.000000 -0.000000
4.110000e+06 0.637424 0.982287 -0.309017 0.587785
4120000 0.684547 0.998027 -0.587785 0.951057
4130000 0.728969 0.998027 -0.809017 0.951057
4.140000e+06 0.770513 0.982287 -0.951057 0.587785
4.150000e+06 0.809017 0.951057 -1.000000 -0.000000
4160000 0.844328 0.904827 -0.951057 -0.587785
4170000 0.876307 0.844328 -0.809017 -0.951057
4.180000e+06 0.904827 0.770513 -0.587785 -0.951057
4.190000e+06 0.929776 0.684547 -0.309017 -0.587785
4200000 0.951057 0.587785 0.000000 0.000000
4210000 0.968583 0.481754 0.309017 0.587785
4220000 0.982287 0.368125 0.587785 0.951057
4230000 0.992115 0.248690 0.809017 0.951057
4240000 0.998027 0.125333 0.951057 0.587785
4250000 1.000000 -0.000000 1.000000 0.000000
4260000 0.998027 -0.125333 0.951057 -0.587785
4270000 0.992115 -0.248690 0.809017 -0.951057
4280000 0.982287 -0.368125 0.587785 -0.951057
4290000 0.968583 -0.481754 0.309017 -0.587785
4300000 0.951057 -0.587785 0.000000 -0.000000
4.310000e+06 0.929776 -0.684547 -0.309017 0.587785
4320000 0.904827 -0.770513 -0.587785 0.951057
4330000 0.876307 -0.844328 -0.809017 0.951057
4340000 0.844328 -0.904827 -0.951057 0.587785
4.350000e+06 0.809017 -0.951057 -1.000000 -0.000000
4360000 0.770513 -0.982287 -0.951057 -0.587785
4370000 0.728969 -0.998027 -0.809017 -0.951057
4380000 0.684547 -0.998027 -0.587785 -0.951057
4390000 0.637424 -0.982287 -0.309017 -0.587785
4400000 0.587785 -0.951057 0.000000 0.000000
4410000 0.535827 -0.904827 0.309017 0.587785
4420000 0.481754 -0.844328 0.587785 0.951057
4430000 0.425779 -0.770513 0.809017 0.951057
4440000 0.368125 -0.684547 0.951057 0.587785
4450000 0.309017 -0.587785 1.000000 -0.000000
4460000 0.248690 -0.481754 0.951057 -0.587785
4470000 0.187381 -0.368125 0.809017 -0.951057
4480000 0.125333 -0.248690 0.587785 -0.951057
4490000 0.062791 -0.125333 0.309017 -0.587785
4500000 0.000000 -0.000000 0.000000 -0.000000
4510000 -0.062791 0.125333 -0.309017 0.587785
4520000 -0.125333 0.248690 -0.587785 0.951057
4530000 -0.187381 0.368125 -0.809017 0.951057
4540000 -0.248690 0.481754 -0.951057 0.587785
4550000 -0.309017 0.587785 -1.000000 0.000000
4.560000e+06 -0.368125 0.684547 -0.951057 -0.587785
4570000 -0.425779 0.770513 -0.809017 -0.951057
4580000 -0.481754 0.844328 -0.587785 -0.951057
4590000 -0.535827 0.904827 -0.309017 -0.587785
4.600000e+06 -0.587785 0.951057 0.000000 0.000000
4610000 -0.637424 0.982287 0.309017 0.587785
4620000 -0.684547 0.998027 0.587785 0.951057
4630000 -0.728969 0.998027 0.809017 0.951057
4640000 -0.770513 0.982287 0.951057 0.587785
4650000 -0.809017 0.951057 1.000000 -0.000000
4660000 -0.844328 0.904827 0.951057 -0.587785
4670000 -0.876307 0.844328 0.809017 -0.951057
4680000 -0.904827 0.770513 0.587785 -0.951057
4690000 -0.929776 0.684547 0.309017 -0.587785
4700000 -0.951057 0.587785 -0.000000 0.000000
4710000 -0.968583 0.481754 -0.309017 0.587785
4720000 -0.982287 0.368125 -0.587785 0.951057
4730000 -0.992115 0.248690 -0.809017 0.951057
4740000 -0.998027 0.125333 -0.951057 0.587785
4750000 -1.000000 0.000000 -1.000000 0.000000
4760000 -0.998027 -0.125333 -0.951057 -0.587785
4770000 -0.992115 -0.248690 -0.809017 -0.951057
4780000 -0.982287 -0.368125 -0.587785 -0.951057
4790000 -0.968583 -0.481754 -0.309017 -0.587785
4800000 -0.951057 -0.587785 -0.000000 -0.000000
4.810000e+06 -0.929776 -0.684547 0.309017 0.587785
4820000 -0.904827 -0.770513 0.587785 0.951057
4830000 -0.876307 -0.844328 0.809017 0.951057
4840000 -0.844328 -0.904827 0.951057 0.587785
4.850000e+06 -0.809017 -0.951057 1.000000 0.000000
4860000 -0.770513 -0.982287 0.951057 -0.587785
4870000 -0.728969 -0.998027 0.809017 -0.951057
4880000 -0.684547 -0.998027 0.587785 -0.951057
4890000 -0.637424 -0.982287 0.309017 -0.587785
4900000 -0.587785 -0.951057 -0.000000 0.000000
4910000 -0.535827 -0.904827 -0.309017 0.587785
4920000 -0.481754 -0.844328 -0.587785 0.951057
4930000 -0.425779 -0.770513 -0.809017 0.951057
4940000 -0.368125 -0.684547 -0.951057 0.587785
4950000 -0.309017 -0.587785 -1.000000 -0.000000
4960000 -0.248690 -0.481754 -0.951057 -0.587785
4970000 -0.187381 -0.368125 -0.809017 -0.951057
4980000 -0.125333 -0.248690 -0.587785 -0.951057
4990000 -0.062791 -0.125333 -0.309017 -0.587785
5000000 -0.000000 -0.000000 0.000000 0.000000
5010000 0.062791 0.125333 0.309017 0.587785
5020000 0.125333 0.248690 0.587785 0.951057
5030000 0.187381 0.368125 0.809017 0.951057
5040000 0.248690 0.481754 0.951057 0.587785
5050000 0.309017 0.587785 1.000000 0.000000
5.060000e+06 0.368125 0.684547 0.951057 -0.587785
5070000 0.425779 0.770513 0.809017 -0.951057
5080000 0.481754 0.844328 0.587785 -0.951057
5090000 0.535827 0.904827 0.309017 -0.587785
5.100000e+06 0.587785 0.951057 -0.000000 0.000000
5110000 0.637424 0.982287 -0.309017 0.587785
5120000 0.684547 0.998027 -0.587785 0.951057
5130000 0.728969 0.998027 -0.809017 0.951057
5140000 0.770513 0.982287 -0.951057 0.587785
5150000 0.809017 0.951057 -1.000000 -0.000000
5160000 0.844328 0.904827 -0.951057 -0.587785
5170000 0.876307 0.844328 -0.809017 -0.951057
5180000 0.904827 0.770513 -0.587785 -0.951057
5190000 0.929776 0.684547 -0.309017 -0.587785
5200000 0.951057 0.587785 0.000000 0.000000
5210000 0.968583 0.481754 0.309017 0.587785
5220000 0.982287 0.368125 0.587785 0.951057
5230000 0.992115 0.248690 0.809017 0.951057
5240000 0.998027 0.125333 0.951057 0.587785
5250000 1.000000 -0.000000 1.000000 -0.000000
5260000 0.998027 -0.125333 0.951057 -0.587785
5270000 0.992115 -0.248690 0.809017 -0.951057
5280000 0.982287 -0.368125 0.587785 -0.951057
5290000 0.968583 -0.481754 0.309017 -0.587785
5300000 0.951057 -0.587785 0.000000 -0.000000
